x-axis,3,4,MATH
second,Volt,Volt,Volt
+38.6000E-06,+39.7460937500E+00,+39.1601562500E+00,-585.9375000E-03
+38.7000E-06,+40.0390625000E+00,+39.2578125000E+00,-781.2500000E-03
+38.8000E-06,+39.8437500000E+00,+39.2578125000E+00,-585.9375000E-03
+38.9000E-06,+40.0390625000E+00,+39.2578125000E+00,-781.2500000E-03
+39.0000E-06,+39.9414062500E+00,+39.2578125000E+00,-683.5937500E-03
+39.1000E-06,+39.8437500000E+00,+39.3554687500E+00,-488.2812500E-03
+39.2000E-06,+39.9414062500E+00,+39.3554687500E+00,-585.9375000E-03
+39.3000E-06,+40.4296875000E+00,+39.3554687500E+00,-1.0742187500E+00
+39.4000E-06,+40.1367187500E+00,+39.5507812500E+00,-585.9375000E-03
+39.5000E-06,+40.1367187500E+00,+39.7460937500E+00,-390.6250000E-03
+39.6000E-06,+40.2343750000E+00,+39.5507812500E+00,-683.5937500E-03
+39.7000E-06,+40.3320312500E+00,+39.6484375000E+00,-683.5937500E-03
+39.8000E-06,+40.2343750000E+00,+39.8437500000E+00,-390.6250000E-03
+39.9000E-06,+40.4296875000E+00,+39.7460937500E+00,-683.5937500E-03
+40.0000E-06,+40.5273437500E+00,+39.5507812500E+00,-976.5625000E-03
+40.1000E-06,+40.4296875000E+00,+39.6484375000E+00,-781.2500000E-03
+40.2000E-06,+40.7226562500E+00,+39.8437500000E+00,-878.9062500E-03
+40.3000E-06,+40.6250000000E+00,+40.0390625000E+00,-585.9375000E-03
+40.4000E-06,+40.9179687500E+00,+40.1367187500E+00,-781.2500000E-03
+40.5000E-06,+40.9179687500E+00,+40.0390625000E+00,-878.9062500E-03
+40.6000E-06,+40.8203125000E+00,+40.1367187500E+00,-683.5937500E-03
+40.7000E-06,+40.7226562500E+00,+40.2343750000E+00,-488.2812500E-03
+40.8000E-06,+40.9179687500E+00,+40.0390625000E+00,-878.9062500E-03
+40.9000E-06,+40.9179687500E+00,+40.1367187500E+00,-781.2500000E-03
+41.0000E-06,+40.8203125000E+00,+40.4296875000E+00,-390.6250000E-03
+41.1000E-06,+40.8203125000E+00,+40.4296875000E+00,-390.6250000E-03
+41.2000E-06,+40.8203125000E+00,+39.9414062500E+00,-878.9062500E-03
+41.3000E-06,+40.8203125000E+00,+40.3320312500E+00,-488.2812500E-03
+41.4000E-06,+41.0156250000E+00,+40.4296875000E+00,-585.9375000E-03
+41.5000E-06,+41.2109375000E+00,+40.4296875000E+00,-781.2500000E-03
+41.6000E-06,+41.1132812500E+00,+40.4296875000E+00,-683.5937500E-03
+41.7000E-06,+41.0156250000E+00,+40.4296875000E+00,-585.9375000E-03
+41.8000E-06,+41.2109375000E+00,+40.8203125000E+00,-390.6250000E-03
+41.9000E-06,+41.4062500000E+00,+40.6250000000E+00,-781.2500000E-03
+42.0000E-06,+41.3085937500E+00,+40.7226562500E+00,-585.9375000E-03
+42.1000E-06,+41.3085937500E+00,+40.4296875000E+00,-878.9062500E-03
+42.2000E-06,+41.3085937500E+00,+40.7226562500E+00,-585.9375000E-03
+42.3000E-06,+41.5039062500E+00,+40.9179687500E+00,-585.9375000E-03
+42.4000E-06,+41.5039062500E+00,+40.7226562500E+00,-781.2500000E-03
+42.5000E-06,+41.6992187500E+00,+41.1132812500E+00,-585.9375000E-03
+42.6000E-06,+41.6992187500E+00,+40.9179687500E+00,-781.2500000E-03
+42.7000E-06,+41.6015625000E+00,+40.9179687500E+00,-683.5937500E-03
+42.8000E-06,+41.6992187500E+00,+41.2109375000E+00,-488.2812500E-03
+42.9000E-06,+41.7968750000E+00,+41.2109375000E+00,-585.9375000E-03
+43.0000E-06,+41.6015625000E+00,+41.1132812500E+00,-488.2812500E-03
+43.1000E-06,+41.7968750000E+00,+41.2109375000E+00,-585.9375000E-03
+43.2000E-06,+41.9921875000E+00,+41.5039062500E+00,-488.2812500E-03
+43.3000E-06,+42.0898437500E+00,+41.4062500000E+00,-683.5937500E-03
+43.4000E-06,+42.0898437500E+00,+41.5039062500E+00,-585.9375000E-03
+43.5000E-06,+42.1875000000E+00,+41.5039062500E+00,-683.5937500E-03
+43.6000E-06,+42.0898437500E+00,+41.4062500000E+00,-683.5937500E-03
+43.7000E-06,+42.1875000000E+00,+41.6015625000E+00,-585.9375000E-03
+43.8000E-06,+42.2851562500E+00,+41.6015625000E+00,-683.5937500E-03
+43.9000E-06,+41.9921875000E+00,+41.8945312500E+00,-97.6562500E-03
+44.0000E-06,+42.3828125000E+00,+41.7968750000E+00,-585.9375000E-03
+44.1000E-06,+42.4804687500E+00,+41.6992187500E+00,-781.2500000E-03
+44.2000E-06,+42.3828125000E+00,+41.6015625000E+00,-781.2500000E-03
+44.3000E-06,+42.4804687500E+00,+41.7968750000E+00,-683.5937500E-03
+44.4000E-06,+42.6757812500E+00,+41.8945312500E+00,-781.2500000E-03
+44.5000E-06,+42.5781250000E+00,+41.9921875000E+00,-585.9375000E-03
+44.6000E-06,+42.4804687500E+00,+42.0898437500E+00,-390.6250000E-03
+44.7000E-06,+42.5781250000E+00,+41.9921875000E+00,-585.9375000E-03
+44.8000E-06,+42.5781250000E+00,+42.0898437500E+00,-488.2812500E-03
